"agent",10,31,-2.29,0.32,0.68
"agent_MD",2,2,1.34,1,0
"amod",3,3,1.64,1,0
"dobj",172,334,-0.47,0.51,0.49
"dobj_MD",40,68,1,0.59,0.41
"dobj_MD_neg",0,5,-2.36,0,1
"dobj_TO",31,47,1.81,0.66,0.34
"dobj_VBZ_neg",0,3,-1.83,0,1
"infmod",6,6,2.32,1,0
"infmod_TO",6,6,2.32,1,0
"nsubj",206,239,10.34,0.86,0.14
"nsubj_MD",9,11,1.93,0.82,0.18
"nsubj_VBZ",2,2,1.34,1,0
"nsubjpass",36,45,3.66,0.8,0.2
"nsubjpass_MD",7,12,0.38,0.58,0.42
"prep_as",0,4,-2.12,0,1
"prep_as_MD",0,2,-1.5,0,1
"prep_as_TO",0,2,-1.5,0,1
"prep_because",0,2,-1.5,0,1
"prep_by",2,2,1.34,1,0
"prep_for",9,14,0.86,0.64,0.36
"prep_from",0,6,-2.59,0,1
"prep_in",25,51,-0.54,0.49,0.51
"prep_into_MD",2,2,1.34,1,0
"prep_like",0,2,-1.5,0,1
"prep_of",93,135,3.75,0.69,0.31
"prep_of_TO",2,2,1.34,1,0
"prep_of_TO_TO",2,2,1.34,1,0
"prep_on",0,12,-3.66,0,1
"prep_such_as",0,21,-4.85,0,1
"prep_through",0,2,-1.5,0,1
"prep_to",28,45,1.27,0.62,0.38
"prep_to_MD",0,2,-1.5,0,1
"prep_to_TO",2,7,-1.28,0.29,0.71
"prep_with",9,18,-0.24,0.5,0.5
"prep_with_MD",0,2,-1.5,0,1
"rcmod",19,19,4.12,1,0
"rcmod_MD",2,2,1.34,1,0
